epoch,step,val_loss
0,0,1.2999881505966187
1,1,1.0806280374526978
2,2,0.8862093091011047
3,3,0.7165522575378418
4,4,0.571044385433197
5,5,0.44870686531066895
6,6,0.3481452465057373
7,7,0.26779648661613464
8,8,0.20616565644741058
9,9,0.16116856038570404
10,10,0.13080842792987823
11,11,0.11305470764636993
12,12,0.10545479506254196
13,13,0.10547136515378952
14,14,0.11069466918706894
15,15,0.11902236193418503
16,16,0.12863439321517944
17,17,0.13811679184436798
18,18,0.14628569781780243
19,19,0.15266965329647064
20,20,0.1568145900964737
21,21,0.1588260382413864
22,22,0.1586574763059616
