val_loss,epoch,step,train_loss
9.778688430786133,0,0,
9.24119758605957,1,1,
8.727652549743652,2,2,
8.236281394958496,3,3,
7.767463684082031,4,4,
7.31979513168335,5,5,
6.892138957977295,6,6,
6.484004497528076,7,7,
6.094336986541748,8,8,
5.722841739654541,9,9,
5.36812162399292,10,10,
5.0306396484375,11,11,
4.709069728851318,12,12,
4.403510570526123,13,13,
4.112977027893066,14,14,
3.8372247219085693,15,15,
3.575792074203491,16,16,
3.327716827392578,17,17,
3.092315673828125,18,18,
2.869305372238159,19,19,
2.658612012863159,20,20,
2.4594781398773193,21,21,
2.2717647552490234,22,22,
2.094792127609253,23,23,
1.9284414052963257,24,24,
1.7721033096313477,25,25,
1.6252635717391968,26,26,
1.4878498315811157,27,27,
1.359413504600525,28,28,
1.2395294904708862,29,29,
1.1281111240386963,30,30,
1.0246587991714478,31,31,
0.9286379218101501,32,32,
0.8398184776306152,33,33,
0.7579867243766785,34,34,
0.6830033659934998,35,35,
0.6142315864562988,36,36,
0.5515733361244202,37,37,
0.4946737289428711,38,38,
0.4432063698768616,39,39,
0.39686015248298645,40,40,
0.35550472140312195,41,41,
0.31870386004447937,42,42,
0.28626665472984314,43,43,
0.25786590576171875,44,44,
0.2332005351781845,45,45,
0.21202678978443146,46,46,
0.1940068006515503,47,47,
0.17887428402900696,48,48,
,49,49,0.6811540722846985
0.16641776263713837,49,49,
0.1563057154417038,50,50,
0.1482630968093872,51,51,
0.1420084536075592,52,52,
0.13734903931617737,53,53,
0.13404454290866852,54,54,
0.13186369836330414,55,55,
0.13063263893127441,56,56,
0.13017717003822327,57,57,
0.13033799827098846,58,58,
0.13097138702869415,59,59,
0.1319403499364853,60,60,
0.1331389993429184,61,61,
0.1344728320837021,62,62,
0.13584287464618683,63,63,
0.13721632957458496,64,64,
0.13851268589496613,65,65,
0.13968662917613983,66,66,
0.1407046616077423,67,67,
