epoch,step,val_loss
0,0,0.6587689518928528
1,1,0.5641138553619385
2,2,0.48102790117263794
3,3,0.40898600220680237
4,4,0.34827280044555664
5,5,0.30337896943092346
6,6,0.26725879311561584
7,7,0.23647108674049377
8,8,0.21021786332130432
9,9,0.1880771368741989
10,10,0.16982105374336243
11,11,0.1551070213317871
12,12,0.14360730350017548
13,13,0.1350264698266983
14,14,0.12897899746894836
15,15,0.12506698071956635
16,16,0.12265880405902863
17,17,0.1218225508928299
18,18,0.12182314693927765
19,19,0.12229354679584503
20,20,0.12305300682783127
21,21,0.12394487112760544
22,22,0.12484633922576904
23,23,0.12567107379436493
24,24,0.1263597458600998
25,25,0.12688088417053223
26,26,0.12722145020961761
27,27,0.12737061083316803
