epoch,step,val_loss
0,0,7.752629280090332
1,1,6.4963202476501465
2,2,5.359668254852295
3,3,4.34828519821167
4,4,3.4583613872528076
5,5,2.6842129230499268
6,6,2.026822805404663
7,7,1.480567455291748
8,8,1.038477897644043
9,9,0.6932125091552734
10,10,0.4379905164241791
11,11,0.2651939392089844
12,12,0.1600872129201889
13,13,0.11126022785902023
14,14,0.1048988625407219
15,15,0.128073588013649
16,16,0.1680249571800232
17,17,0.2139257937669754
18,18,0.2577110826969147
19,19,0.29366227984428406
20,20,0.31790217757225037
21,21,0.3289564549922943
22,22,0.32709190249443054
23,23,0.313711941242218
24,24,0.2912267744541168
